연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2020,8,7,3426,뱀파이어 헌터스 D,1000,0,1,1,1,미국,미국,(주)알이디아이스엔터,2020-08-07T00:00:00Z
2020,8,13,3426,여사장 후리꾼,6000,0,1,1,1,한국,한국,주식회사 플릭스코,2020-08-13T00:00:00Z
2020,8,13,3426,옆집소녀4-무삭제,5000,0,1,1,1,한국,한국,스마일컨텐츠,2020-08-13T00:00:00Z
2020,12,25,3426,B형물많고화끈한처제,5000,0,1,1,1,한국,한국,스마일컨텐츠,2020-12-25T00:00:00Z
2020,8,7,3426,스와핑 : 두 부부의 이혼여행,6000,0,1,1,1,한국,한국,뷰소프트,2020-08-07T00:00:00Z
2020,11,23,3426,착한 형수 : 두 부부가 이혼한 날,6000,0,1,1,1,한국,한국,뷰소프트,2020-11-23T00:00:00Z
2020,8,7,3426,착한 처형 : 마지막 여행,6000,0,1,1,1,한국,한국,뷰소프트,2020-08-07T00:00:00Z
2020,12,4,3426,불륜여행 : 여친의 언니,6000,0,1,1,1,한국,한국,뷰소프트,2020-12-04T00:00:00Z
2020,8,18,3426,욕구불만 자매들 : 형부가 출장 간 날,6000,0,1,1,1,한국,한국,뷰소프트,2020-08-18T00:00:00Z
2020,8,18,3426,친구엄마의 욕구불만,6000,0,1,1,1,한국,한국,뷰소프트,2020-08-18T00:00:00Z
2020,12,25,3426,스와핑 : 자매의 남자들 무삭제,6000,0,1,1,1,한국,한국,뷰소프트,2020-12-25T00:00:00Z
2020,7,13,3426,헤븐퀘스트,1000,0,1,1,1,미국,미국,(주)스토리제이,2020-07-13T00:00:00Z
2020,11,27,3426,볼빨간 여동생,1000,0,1,1,1,한국,한국,(주)영화사히트,2020-11-27T00:00:00Z
2020,11,27,3426,볼빨간 형수님,1000,0,1,1,1,한국,한국,(주)영화사히트,2020-11-27T00:00:00Z
2020,8,4,3426,신입 여사원 길들이기,6000,0,1,1,1,일본,일본,(주)빅콘미디어,2020-08-04T00:00:00Z
2020,7,10,3426,범해진 신부 무삭제판,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-10T00:00:00Z
2020,11,18,3426,나는 야한 여자가 좋다 4 - 무삭제판,1000,0,1,1,1,한국,한국,(주)컨텐츠 빌리지,2020-11-18T00:00:00Z
2020,12,16,3426,구멍 교환 - 무삭제판,1000,0,1,1,1,한국,한국,(주)컨텐츠 빌리지,2020-12-16T00:00:00Z
2020,7,10,3426,노처녀 팀장의 목적,5000,0,1,1,1,한국,한국,골든타이드픽처스(주),2020-07-10T00:00:00Z
2020,7,10,3426,딥한 관계,5000,0,1,1,1,한국,한국,골든타이드픽처스(주),2020-07-10T00:00:00Z
